Gene ID	source_id	gene_source_id	Gene Name or Symbol	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Liver schizont - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Blood stage - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Hypnozoite - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	
PcyM_0018700	PcyM_0018700-t36_1	PcyM_0018700	N/A	0.21	2.73	0.5	
PcyM_0018800	PcyM_0018800-t36_1	PcyM_0018800	N/A	0	0.36	0	
PcyM_0018950	PcyM_0018950-t36_1	PcyM_0018950	N/A	0.12	7.03	2.98	
PcyM_0018970	PcyM_0018970-t36_1	PcyM_0018970	N/A	0	4.64	0	
PcyM_0019000	PcyM_0019000-t36_1	PcyM_0019000	N/A	0	0.61	0.73	
PcyM_0019100	PcyM_0019100-t36_1	PcyM_0019100	N/A	0	33.4	0	
PcyM_0019200	PcyM_0019200-t36_1	PcyM_0019200	N/A	0	0.14	0	
PcyM_0019300	PcyM_0019300-t36_1	PcyM_0019300	N/A	0	2.96	0	
PcyM_0019400	PcyM_0019400-t36_1	PcyM_0019400	N/A	0	1.62	0	
PcyM_0019600	PcyM_0019600-t36_1	PcyM_0019600	N/A	0	3.74	1.44	
PcyM_0019700	PcyM_0019700-t36_1	PcyM_0019700	N/A	0	3.05	0	
PcyM_0019750	PcyM_0019750-t36_1	PcyM_0019750	N/A	0	2.14	0	
PcyM_0019800	PcyM_0019800-t36_1	PcyM_0019800	N/A	0	2.47	0	
PcyM_0019850	PcyM_0019850-t36_1	PcyM_0019850	N/A	0	7.18	0	
PcyM_0019900	PcyM_0019900-t36_1	PcyM_0019900	N/A	0	0.8	0.71	
PcyM_0020000	PcyM_0020000-t36_1	PcyM_0020000	N/A	0	4.42	0	
PcyM_0020100	PcyM_0020100-t36_1	PcyM_0020100	N/A	0	7.17	0	
PcyM_0020150	PcyM_0020150-t36_1	PcyM_0020150	N/A	0	0	0	
PcyM_0020170	PcyM_0020170-t36_1	PcyM_0020170	N/A	0	9.66	3.82	
PcyM_0020200	PcyM_0020200-t36_1	PcyM_0020200	N/A	0	4.63	0	
PcyM_0020300	PcyM_0020300-t36_1	PcyM_0020300	N/A	0	2.23	0	
PcyM_0020400	PcyM_0020400-t36_1	PcyM_0020400	N/A	0	2.37	1.43	
PcyM_0020450	PcyM_0020450-t36_1	PcyM_0020450	N/A	0	1.73	0	
PcyM_0020500	PcyM_0020500-t36_1	PcyM_0020500	N/A	0	11.29	0	
PcyM_0020600	PcyM_0020600-t36_1	PcyM_0020600	N/A	0	8.66	0	
PcyM_0020700	PcyM_0020700-t36_1	PcyM_0020700	N/A	0	10.08	0	
PcyM_0020800	PcyM_0020800-t36_1	PcyM_0020800	N/A	0	0.22	0	
PcyM_0020900	PcyM_0020900-t36_1	PcyM_0020900	N/A	0	0	0	
PcyM_0020950	PcyM_0020950-t36_1	PcyM_0020950	N/A	0	0	0	
PcyM_0021000	PcyM_0021000-t36_1	PcyM_0021000	N/A	0	1.76	0.79	
PcyM_0021100	PcyM_0021100-t36_1	PcyM_0021100	N/A	0	21.03	5.77	
PcyM_0021200	PcyM_0021200-t36_1	PcyM_0021200	N/A	0	10.67	0	
PcyM_0021300	PcyM_0021300-t36_1	PcyM_0021300	N/A	0.05	6.83	0	
PcyM_0021400	PcyM_0021400-t36_1	PcyM_0021400	N/A	0.19	1.54	0	
PcyM_0021500	PcyM_0021500-t36_1	PcyM_0021500	N/A	0	0.84	0	
PcyM_0021600	PcyM_0021600-t36_1	PcyM_0021600	N/A	0	16.67	0	
PcyM_0021700	PcyM_0021700-t36_1	PcyM_0021700	N/A	0	40.15	2.32	
PcyM_0021800	PcyM_0021800-t36_1	PcyM_0021800	N/A	0	1.44	0	
PcyM_0021900	PcyM_0021900-t36_1	PcyM_0021900	N/A	0	7.43	0	
PcyM_0022000	PcyM_0022000-t36_1	PcyM_0022000	N/A	0	2.37	0	
PcyM_0022100	PcyM_0022100-t36_1	PcyM_0022100	N/A	0	8.01	0	
PcyM_0022150	PcyM_0022150-t36_1	PcyM_0022150	N/A	0	1.25	0	
PcyM_0022170	PcyM_0022170-t36_1	PcyM_0022170	N/A	0	1.17	3.93	
PcyM_0022200	PcyM_0022200-t36_1	PcyM_0022200	N/A	0	0.9	2.58	
PcyM_0022300	PcyM_0022300-t36_1	PcyM_0022300	N/A	0	1.71	0	
