Gene ID	source_id	smru1 - smru1 6 hours - unique (intraerythrocytic cycle)	smru1 - smru1 18 hours - unique (intraerythrocytic cycle)	smru1 - smru1 24 hours - unique (intraerythrocytic cycle)	smru1 - smru1 30 hours - unique (intraerythrocytic cycle)	smru1 - smru1 36 hours - unique (intraerythrocytic cycle)	smru1 - smru1 48 hours - unique (intraerythrocytic cycle)	smru1 - smru1 42 hours - unique (intraerythrocytic cycle)	smru2 - smru2 6 hours - unique (intraerythrocytic cycle)	smru2 - smru2 12 hours - unique (intraerythrocytic cycle)	smru2 - smru2 18 hours - unique (intraerythrocytic cycle)	smru2 - smru2 24 hours - unique (intraerythrocytic cycle)	smru2 - smru2 30 hours - unique (intraerythrocytic cycle)	smru2 - smru2 36 hours - unique (intraerythrocytic cycle)	smru2 - smru2 42 hours - unique (intraerythrocytic cycle)	smru2 - smru2 48 hours - unique (intraerythrocytic cycle)	
PVP01_0512400	PVP01_0512400.1	47.02	194.51	141.56	65.01	24.3	64.01	32.66	62.75	127.48	135.47	79.43	41.37	23.02	36.67	51.51	
PVP01_0513500	PVP01_0513500.1	28.18	64.1	80.91	70.67	23.34	5.74	11.1	34.71	55.08	66.63	68.09	43.02	18.02	10.52	9.57	
PVP01_0000990	PVP01_0000990.1	5.22	2.25	3.33	1.04	0.43	0.74	0.94	4.75	2.29	4.6	2.3	0.66	1.64	0.5	2.27	
PVP01_0513900	PVP01_0513900.1	5.39	25.28	28.99	11.77	7.54	12.42	9.63	8.32	22.29	28.62	19.96	9.73	9.93	9.94	11.57	
PVP01_0514200	PVP01_0514200.1	13.06	92.12	67.39	20.83	9.16	10.26	8.47	29.54	94.25	74.15	39.41	10.47	11.28	16.03	19.6	
PVP01_0514400	PVP01_0514400.1	294.4	367.97	364.63	265.11	104.05	52.02	45.65	279.68	324.49	389.53	288.69	185.29	74.7	66.53	54.17	
PVP01_0001060	PVP01_0001060.1	0	0	0	0	0	0	0	2.63	0.42	2.04	1.46	0.73	0	0	0	
PVP01_0514800	PVP01_0514800.1	15.35	15.17	91.6	185.7	129.89	85.06	84.62	42.41	16.14	58.8	140.02	170.57	96.5	58.95	68.9	
PVP01_0001140	PVP01_0001140.1	0	0.75	0	0	0	0	0	1.49	2.3	1.39	1.32	0	0.82	0.51	0.33	
PVP01_0515500	PVP01_0515500.1	109.45	77.67	67.82	45.66	18.63	21.78	12.07	73.94	70.12	77.94	51.67	25	21.85	19.14	30.97	
PVP01_0516100	PVP01_0516100.1	40.55	46.46	52.52	31.68	11.54	22.79	15.14	42.12	56.02	64.67	49.07	20.41	17.35	24.14	24.96	
PVP01_0516600	PVP01_0516600.1	74.04	72.29	93.34	197.17	161.02	123.79	84.74	101.82	64.87	71.46	138.65	190.12	123.73	94.53	98.9	
PVP01_0516700	PVP01_0516700.1	536.99	326.54	306.7	282.05	263.79	867.23	498.92	256.3	323.64	310.27	297.3	259.65	368	575.87	762.57	
PVP01_0001260	PVP01_0001260.1	0	0	0	0	0	0	0	1.81	1.4	1.13	1.21	0.4	0	0.62	0	
PVP01_0001290	PVP01_0001290.1	0.4	0.31	0.35	0	0	0.94	0.4	0	0	0	0	0	0	0	0	
