Gene ID	source_id	Gene Name or Symbol	gene_source_id	sense - salivary gland sporozoites - unique only	Transcriptomic Analysis of Cultured Sporozoites - Sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	Transcriptomic Analysis of Cultured Sporozoites - Cultured sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	
PF3D7_1002500	PF3D7_1002500.1	N/A	PF3D7_1002500	22.32	1.94	45.66	
PF3D7_1002600	PF3D7_1002600.1	N/A	PF3D7_1002600	12.18	4.03	74.41	
PF3D7_1002700	PF3D7_1002700.1	N/A	PF3D7_1002700	3.79	3.55	60.59	
PF3D7_1002800	PF3D7_1002800.1	N/A	PF3D7_1002800	3.05	0.31	61.16	
PF3D7_1002900	PF3D7_1002900.1	N/A	PF3D7_1002900	0.99	0.19	35.74	
PF3D7_1003000	PF3D7_1003000.1	N/A	PF3D7_1003000	7.12	2.36	23.49	
PF3D7_1003100	PF3D7_1003100.1	N/A	PF3D7_1003100	9.68	0.51	57.1	
PF3D7_1003200	PF3D7_1003200.1	N/A	PF3D7_1003200	0	0.73	40.8	
PF3D7_1003300	PF3D7_1003300.1	ARD1	PF3D7_1003300	65.16	5.87	20.96	
PF3D7_1003400	PF3D7_1003400.1	N/A	PF3D7_1003400	2.72	1.14	91.76	
PF3D7_1003500	PF3D7_1003500.1	N/A	PF3D7_1003500	121.59	109.97	139.52	
PF3D7_1003600	PF3D7_1003600.1	IMC1c	PF3D7_1003600	214.87	32.37	46	
PF3D7_1003700	PF3D7_1003700.1	N/A	PF3D7_1003700	12.69	5.32	69.36	
PF3D7_1003800	PF3D7_1003800.1	EFTUD2	PF3D7_1003800	2.24	1.49	120.44	
PF3D7_1003900	PF3D7_1003900.1	N/A	PF3D7_1003900	2.3	0.1	21.83	
PF3D7_1004000	PF3D7_1004000.1	N/A	PF3D7_1004000	66.87	81.69	154.05	
PF3D7_1004100	PF3D7_1004100.1	N/A	PF3D7_1004100	3.92	2.83	54.97	
PF3D7_1004200	PF3D7_1004200.1	N/A	PF3D7_1004200	2.01	3.29	103.76	
PF3D7_1004300	PF3D7_1004300.1	N/A	PF3D7_1004300	50.81	245.45	157.35	
PF3D7_1004400	PF3D7_1004400.1	N/A	PF3D7_1004400	4.43	8.9	237.18	
PF3D7_1004500	PF3D7_1004500.1	N/A	PF3D7_1004500	12.03	17.34	45.54	
PF3D7_1004600	PF3D7_1004600.1	N/A	PF3D7_1004600	5.43	6.7	77.83	
PF3D7_1004700	PF3D7_1004700.1	N/A	PF3D7_1004700	55.69	30.17	154.18	
PF3D7_1004800	PF3D7_1004800.1	N/A	PF3D7_1004800	42.28	32.04	37.76	
PF3D7_1004900	PF3D7_1004900.1	N/A	PF3D7_1004900	24.26	9.03	28.74	
PF3D7_1005000	PF3D7_1005000.1	MRSapi	PF3D7_1005000	3.25	1.88	30.88	
PF3D7_1005100	PF3D7_1005100.1	UTP25	PF3D7_1005100	4.67	2.47	61.63	
PF3D7_1005200	PF3D7_1005200.1	N/A	PF3D7_1005200	2.04	0.39	35	
PF3D7_1005300	PF3D7_1005300.1	N/A	PF3D7_1005300	2.44	0.28	19.74	
PF3D7_1005400	PF3D7_1005400.1	N/A	PF3D7_1005400	3.14	0.36	35.86	
PF3D7_1005500	PF3D7_1005500.1	UPF1	PF3D7_1005500	11.02	10.48	98.16	
PF3D7_1005600	PF3D7_1005600.1	N/A	PF3D7_1005600	81.78	185.03	120.49	
PF3D7_1005700	PF3D7_1005700.1	N/A	PF3D7_1005700	1.64	0.63	37.34	
PF3D7_1005800	PF3D7_1005800.1	N/A	PF3D7_1005800	0	0.32	37.82	
PF3D7_1005900	PF3D7_1005900.1	N/A	PF3D7_1005900	7.34	4.01	95.82	
